record_id,source_id,safe_id,province_id,province_name,subSgId,subSgName,sggname,huboid,hbjname,jdname,doc_index,doc_type,new_current_download_url,new_current_pdf_path,local_pdf,download_status,bytes,pdf_sha256,error,markdown_path,extract_status,pages,chars,extract_error,extraction_method,quality_flag
420260603-4100-파주시-100154507-1-선거공보,candidate-doc:100154507:1,candidate-doc_100154507_1,4100,경기도,420260603,구·시·군의 장선거,파주시,100154507,손배찬,더불어민주당,1,선거공보,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%ED%8C%8C%EC%A3%BC%EC%8B%9C_%EC%86%90%EB%B0%B0%EC%B0%AC_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4132/003_100154507_20260522_1.pdf,20260603/PDF/PBINFO/4132/003_100154507_20260522_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\documents\candidate-doc_100154507_1.pdf,downloaded,5621429,ca83d0e2e4c3973ac4788fedd4db00eb429ac45aad1f4fdb6a8ebb5612585ea3,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\markdown\candidate-doc_100154507_1.md,ok,12,4734,,pymupdf,ok
420260603-4100-파주시-100156661-1-선거공보,candidate-doc:100156661:1,candidate-doc_100156661_1,4100,경기도,420260603,구·시·군의 장선거,파주시,100156661,박용호,국민의힘,1,선거공보,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%ED%8C%8C%EC%A3%BC%EC%8B%9C_%EB%B0%95%EC%9A%A9%ED%98%B8_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4132/003_100156661_20260522_1.pdf,20260603/PDF/PBINFO/4132/003_100156661_20260522_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\documents\candidate-doc_100156661_1.pdf,downloaded,19290411,85fd3e63899a71323fe5cf2238031ced29236d7bc82d248012e10882e9630472,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\markdown\candidate-doc_100156661_1.md,ok,12,1010,,pymupdf,ok
420260603-4100-광명시-100161445-2-선거공약서,candidate-doc:100161445:2,candidate-doc_100161445_2,4100,경기도,420260603,구·시·군의 장선거,광명시,100161445,박승원,더불어민주당,2,선거공약서,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EA%B4%91%EB%AA%85%EC%8B%9C_%EB%B0%95%EC%8A%B9%EC%9B%90_%EC%84%A0%EA%B1%B0%EA%B3%B5%EC%95%BD%EC%84%9C.pdf&requestedFullPath=20260603/PDF/PRMS_DOC_PUB/4114/004_100161445_20260528_1.pdf,20260603/PDF/PRMS_DOC_PUB/4114/004_100161445_20260528_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\documents\candidate-doc_100161445_2.pdf,downloaded,11385140,1346fb7d4ad600b08f50012a11bda8cd25926d4d588eaa04a0a511452a865a75,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\markdown\candidate-doc_100161445_2.md,ok,12,5377,,pymupdf,ok
420260603-4100-안성시-100154958-2-선거공약서,candidate-doc:100154958:2,candidate-doc_100154958_2,4100,경기도,420260603,구·시·군의 장선거,안성시,100154958,김장연,국민의힘,2,선거공약서,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%95%88%EC%84%B1%EC%8B%9C_%EA%B9%80%EC%9E%A5%EC%97%B0_%EC%84%A0%EA%B1%B0%EA%B3%B5%EC%95%BD%EC%84%9C.pdf&requestedFullPath=20260603/PDF/PRMS_DOC_PUB/4138/004_100154958_20260527_1.pdf,20260603/PDF/PRMS_DOC_PUB/4138/004_100154958_20260527_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\documents\candidate-doc_100154958_2.pdf,downloaded,550586,b8d1a9b39ea02ca3896cd5dc765f1881873384cb94509afc2d0b6e52edacd925,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\markdown\candidate-doc_100154958_2.md,ok,4,2577,,pymupdf,ok
420260603-5200-강릉시-100154117-2-선거공약서,candidate-doc:100154117:2,candidate-doc_100154117_2,5200,강원특별자치도,420260603,구·시·군의 장선거,강릉시,100154117,김동기,무소속,2,선거공약서,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EA%B0%95%EB%A6%89%EC%8B%9C_%EA%B9%80%EB%8F%99%EA%B8%B0_%EC%84%A0%EA%B1%B0%EA%B3%B5%EC%95%BD%EC%84%9C.pdf&requestedFullPath=20260603/PDF/PRMS_DOC_PUB/5203/004_100154117_20260528_1.pdf,20260603/PDF/PRMS_DOC_PUB/5203/004_100154117_20260528_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\documents\candidate-doc_100154117_2.pdf,downloaded,2721430,539c5c1e91280ddb99d6b38897d786874016c4f5cd8dddb95a5540c9096c3ec8,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\markdown\candidate-doc_100154117_2.md,ok,2,1342,,windows_media_ocr_ko,ocr_recovered
420260603-4300-제천시-100158725-1-선거공보,candidate-doc:100158725:1,candidate-doc_100158725_1,4300,충청북도,420260603,구·시·군의 장선거,제천시,100158725,김창규,국민의힘,1,선거공보,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%9C%EC%B2%9C%EC%8B%9C_%EA%B9%80%EC%B0%BD%EA%B7%9C_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4304/003_100158725_20260526_1.pdf,20260603/PDF/PBINFO/4304/003_100158725_20260526_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\documents\candidate-doc_100158725_1.pdf,downloaded,4144429,0239a23d49e474e94feec4f53f9455e9447e55acba667d6472c35283e9c8c701,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\markdown\candidate-doc_100158725_1.md,ok,12,3525,,pymupdf,ok
420260603-5300-김제시-100163513-1-선거공보,candidate-doc:100163513:1,candidate-doc_100163513_1,5300,전북특별자치도,420260603,구·시·군의 장선거,김제시,100163513,정성주,더불어민주당,1,선거공보,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EA%B9%80%EC%A0%9C%EC%8B%9C_%EC%A0%95%EC%84%B1%EC%A3%BC_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5309/003_100163513_20260523_1.pdf,20260603/PDF/PBINFO/5309/003_100163513_20260523_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\documents\candidate-doc_100163513_1.pdf,downloaded,19563320,5143556734d9d4fa86f456c3ae9dfd915f9d5594f3ba65322354236fc2e9b0b1,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\markdown\candidate-doc_100163513_1.md,ok,8,6053,,pymupdf,ok
420260603-5300-김제시-100165590-1-선거공보,candidate-doc:100165590:1,candidate-doc_100165590_1,5300,전북특별자치도,420260603,구·시·군의 장선거,김제시,100165590,이병철,무소속,1,선거공보,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EA%B9%80%EC%A0%9C%EC%8B%9C_%EC%9D%B4%EB%B3%91%EC%B2%A0_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5309/003_100165590_20260523_1.pdf,20260603/PDF/PBINFO/5309/003_100165590_20260523_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\documents\candidate-doc_100165590_1.pdf,downloaded,1226713,aa090f477cc2e38c3635cfc7c3526b5572475b2e48672cdf484a919ff7e4117a,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\markdown\candidate-doc_100165590_1.md,ok,8,2054,,windows_media_ocr_ko,ocr_recovered
420260603-5300-순창군-100161080-2-선거공약서,candidate-doc:100161080:2,candidate-doc_100161080_2,5300,전북특별자치도,420260603,구·시·군의 장선거,순창군,100161080,오은미,진보당,2,선거공약서,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%88%9C%EC%B0%BD%EA%B5%B0_%EC%98%A4%EC%9D%80%EB%AF%B8_%EC%84%A0%EA%B1%B0%EA%B3%B5%EC%95%BD%EC%84%9C.pdf&requestedFullPath=20260603/PDF/PRMS_DOC_PUB/5315/004_100161080_20260529_1.pdf,20260603/PDF/PRMS_DOC_PUB/5315/004_100161080_20260529_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\documents\candidate-doc_100161080_2.pdf,downloaded,2472961,2c79044ecf4584f46d9d7f26f2f976e8599ae9971855db16e6608621d1651bd3,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\markdown\candidate-doc_100161080_2.md,ok,2,1259,,pymupdf,ok
420260603-4600-강진군-100162004-2-선거공약서,candidate-doc:100162004:2,candidate-doc_100162004_2,4600,전라남도,420260603,구·시·군의 장선거,강진군,100162004,강진원,무소속,2,선거공약서,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EA%B0%95%EC%A7%84%EA%B5%B0_%EA%B0%95%EC%A7%84%EC%9B%90_%EC%84%A0%EA%B1%B0%EA%B3%B5%EC%95%BD%EC%84%9C.pdf&requestedFullPath=20260603/PDF/PRMS_DOC_PUB/4616/004_100162004_20260526_1.pdf,20260603/PDF/PRMS_DOC_PUB/4616/004_100162004_20260526_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\documents\candidate-doc_100162004_2.pdf,downloaded,11770094,23448a1a5d2287c38b697dc5ffa085fe2a6a91be27bc145ae18c2b51ebc9d096,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\recheck_2026-05-29\direct_nec_downloads\markdown\candidate-doc_100162004_2.md,ok,12,2321,,pymupdf,ok
