record_id,election_name,province_id,province_name,province_source,subSgId,subSgName,sgTypecode,sggid,sggname,hbjname,huboid,jdname,jdid,hbjgiho,hbjjikup,hbjhakruk,doc_index,doc_type,doc_type_raw,source_id,original_available,original_url,current_available,current_pdf_path,current_pdf_path_source,current_download_url,classification,raw_fileinfo,filePathName,updtFileName,fileTypeName,fileDispYn,pdfPrvwYn,recovery_status
"320260603-5100-세종특별자치시-100161690-2-선거공약서","제9회 전국동시지방선거","5100","세종특별자치시","sggname_exact_province","320260603","시·도지사선거","3","3510000","세종특별자치시","최민호","100161690","국민의힘","200","2","세종특별자치시장","단국대학교 대학원 졸업(행정학 박사)","2","선거공약서","선거공약서","candidate-doc:100161690:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-5100-세종특별자치시-100158883-2-선거공약서","제9회 전국동시지방선거","5100","세종특별자치시","sggname_exact_province","320260603","시·도지사선거","3","3510000","세종특별자치시","하헌휘","100158883","개혁신당","5070","4","변호사","서울대학교 법과대학 법학부 졸업","2","선거공약서","선거공약서","candidate-doc:100158883:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"1120260603-5100-세종특별자치시-100153756-2-선거공약서","제9회 전국동시지방선거","5100","세종특별자치시","sggname_exact_province","1120260603","교육감선거","11","11510000","세종특별자치시","강미애","100153756","무소속","9999","1","세종미래교육연구소 대표","고려대학교 행정전문대학원 박사과정 수료(정책학과)","2","선거공약서","선거공약서","candidate-doc:100153756:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"1120260603-5100-세종특별자치시-100153760-2-선거공약서","제9회 전국동시지방선거","5100","세종특별자치시","sggname_exact_province","1120260603","교육감선거","11","11510000","세종특별자치시","안광식","100153760","무소속","9999","2","미기재","충남대학교 대학원 졸업(교육학박사)","2","선거공약서","선거공약서","candidate-doc:100153760:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"1120260603-5100-세종특별자치시-100153758-2-선거공약서","제9회 전국동시지방선거","5100","세종특별자치시","sggname_exact_province","1120260603","교육감선거","11","11510000","세종특별자치시","임전수","100153758","무소속","9999","3","교육운동가","경북대학교 교육대학원 졸업(교육학 석사)","2","선거공약서","선거공약서","candidate-doc:100153758:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"1120260603-5100-세종특별자치시-100153759-2-선거공약서","제9회 전국동시지방선거","5100","세종특별자치시","sggname_exact_province","1120260603","교육감선거","11","11510000","세종특별자치시","원성수","100153759","무소속","9999","4","미기재","미국 텍사스주립대학교 알링톤 철학박사(1995.08.15.~1997.12.13.)","2","선거공약서","선거공약서","candidate-doc:100153759:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
