record_id,election_name,province_id,province_name,province_source,subSgId,subSgName,sgTypecode,sggid,sggname,hbjname,huboid,jdname,jdid,hbjgiho,hbjjikup,hbjhakruk,doc_index,doc_type,doc_type_raw,source_id,original_available,original_url,current_available,current_pdf_path,current_pdf_path_source,current_download_url,classification,raw_fileinfo,filePathName,updtFileName,fileTypeName,fileDispYn,pdfPrvwYn,recovery_status
"320260603-1100-서울특별시-100157144-2-선거공약서","제9회 전국동시지방선거","1100","서울특별시","sggname_exact_province","320260603","시·도지사선거","3","3110000","서울특별시","정원오","100157144","더불어민주당","100","1","정당인","한양대학교 도시대학원 도시개발경영전공 박사 수료","2","선거공약서","선거공약서","candidate-doc:100157144:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-1100-서울특별시-100162984-2-선거공약서","제9회 전국동시지방선거","1100","서울특별시","sggname_exact_province","320260603","시·도지사선거","3","3110000","서울특별시","오세훈","100162984","국민의힘","200","2","서울특별시장","고려대학교 대학원 법학과 졸업(법학박사)","2","선거공약서","선거공약서","candidate-doc:100162984:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-1100-서울특별시-100158541-2-선거공약서","제9회 전국동시지방선거","1100","서울특별시","sggname_exact_province","320260603","시·도지사선거","3","3110000","서울특별시","김정철","100158541","개혁신당","5070","4","변호사","고려대학교 대학원 졸업(법학박사)","2","선거공약서","선거공약서","candidate-doc:100158541:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-1100-서울특별시-100162632-2-선거공약서","제9회 전국동시지방선거","1100","서울특별시","sggname_exact_province","320260603","시·도지사선거","3","3110000","서울특별시","유지혜","100162632","여성의당","5046","5","정당인","원광디지털대학교 한국문화학부 한국복식과학학과 졸업","2","선거공약서","선거공약서","candidate-doc:100162632:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-1100-서울특별시-100162642-2-선거공약서","제9회 전국동시지방선거","1100","서울특별시","sggname_exact_province","320260603","시·도지사선거","3","3110000","서울특별시","이강산","100162642","자유통일당","3040","6","정당인","서울대학교 경영전문대학원 경영학과(SNU MBA) 졸업(석사)","2","선거공약서","선거공약서","candidate-doc:100162642:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-1100-서울특별시-100162720-2-선거공약서","제9회 전국동시지방선거","1100","서울특별시","sggname_exact_province","320260603","시·도지사선거","3","3110000","서울특별시","권영국","100162720","정의당","730","7","정당인","서울대학교 공과대학 금속공과 졸업","2","선거공약서","선거공약서","candidate-doc:100162720:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-1100-종로구-100154016-2-선거공약서","제9회 전국동시지방선거","1100","서울특별시","nec_region_scope","420260603","구·시·군의 장선거","4","4110100","종로구","유찬종","100154016","더불어민주당","100","1","정당인","연세대학교 경법대학 법학 졸업","2","선거공약서","선거공약서","candidate-doc:100154016:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-1100-종로구-100163635-2-선거공약서","제9회 전국동시지방선거","1100","서울특별시","nec_region_scope","420260603","구·시·군의 장선거","4","4110100","종로구","정문헌","100163635","국민의힘","200","2","종로구청장","고려대학교 대학원 정치외교학과 졸업(정치학 박사)","2","선거공약서","선거공약서","candidate-doc:100163635:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-1100-중구-100154189-2-선거공약서","제9회 전국동시지방선거","1100","서울특별시","nec_region_scope","420260603","구·시·군의 장선거","4","4110200","중구","이동현","100154189","더불어민주당","100","1","정당인","서울시립대학교 도시과학대학원 졸업(행정학석사)","2","선거공약서","선거공약서","candidate-doc:100154189:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-1100-중구-100163124-2-선거공약서","제9회 전국동시지방선거","1100","서울특별시","nec_region_scope","420260603","구·시·군의 장선거","4","4110200","중구","김길성","100163124","국민의힘","200","2","중구청장","연세대학교 행정대학원 졸업 (행정학 석사)","2","선거공약서","선거공약서","candidate-doc:100163124:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
