record_id,source_id,province_id,province_name,subSgId,subSgName,sggname,huboid,hbjname,jdname,doc_index,doc_type,current_download_url,current_pdf_path,local_markdown_repo_path,github_url,extract_status,extraction_method,quality_flag,pages,chars,bytes,recovery_class
"520260603-4100-수원시제5선거구-100157162-1-선거공보","candidate-doc:100157162:1","4100","경기도","520260603","시·도의회의원선거","수원시제5선거구","100157162","황수영","더불어민주당","1","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%88%98%EC%9B%90%EC%8B%9C%EC%A0%9C5%EC%84%A0%EA%B1%B0%EA%B5%AC_%ED%99%A9%EC%88%98%EC%98%81_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4103/003_100157162_20260525_1.pdf","20260603/PDF/PBINFO/4103/003_100157162_20260525_1.pdf","supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-수원시제5선거구-100157162-1-선거공보.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-수원시제5선거구-100157162-1-선거공보.md","ok","pymupdf","ok","8","3137","17760511","pack_stale_currently_available_direct_nec_recovered"
"520260603-4100-수원시제5선거구-100159009-1-선거공보","candidate-doc:100159009:1","4100","경기도","520260603","시·도의회의원선거","수원시제5선거구","100159009","김재은","국민의힘","1","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%88%98%EC%9B%90%EC%8B%9C%EC%A0%9C5%EC%84%A0%EA%B1%B0%EA%B5%AC_%EA%B9%80%EC%9E%AC%EC%9D%80_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4103/003_100159009_20260525_1.pdf","20260603/PDF/PBINFO/4103/003_100159009_20260525_1.pdf","supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-수원시제5선거구-100159009-1-선거공보.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-수원시제5선거구-100159009-1-선거공보.md","ok","pymupdf","suspiciously_short_text","8","114","5733975","pack_stale_currently_available_direct_nec_recovered"
"520260603-4100-용인시제4선거구-100162490-1-선거공보","candidate-doc:100162490:1","4100","경기도","520260603","시·도의회의원선거","용인시제4선거구","100162490","전자영","더불어민주당","1","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%9A%A9%EC%9D%B8%EC%8B%9C%EC%A0%9C4%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%A0%84%EC%9E%90%EC%98%81_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4137/003_100162490_20260524_1.pdf","20260603/PDF/PBINFO/4137/003_100162490_20260524_1.pdf","supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제4선거구-100162490-1-선거공보.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제4선거구-100162490-1-선거공보.md","ok","pymupdf","suspiciously_short_text","8","114","11103194","pack_stale_currently_available_direct_nec_recovered"
"520260603-4100-용인시제4선거구-100162057-1-선거공보","candidate-doc:100162057:1","4100","경기도","520260603","시·도의회의원선거","용인시제4선거구","100162057","윤정희","국민의힘","1","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%9A%A9%EC%9D%B8%EC%8B%9C%EC%A0%9C4%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%9C%A4%EC%A0%95%ED%9D%AC_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4137/003_100162057_20260524_1.pdf","20260603/PDF/PBINFO/4137/003_100162057_20260524_1.pdf","supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제4선거구-100162057-1-선거공보.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제4선거구-100162057-1-선거공보.md","ok","pymupdf","ok","8","3321","9366091","pack_stale_currently_available_direct_nec_recovered"
"520260603-4100-용인시제5선거구-100157732-1-선거공보","candidate-doc:100157732:1","4100","경기도","520260603","시·도의회의원선거","용인시제5선거구","100157732","채명신","더불어민주당","1","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%9A%A9%EC%9D%B8%EC%8B%9C%EC%A0%9C5%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%B1%84%EB%AA%85%EC%8B%A0_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4137/003_100157732_20260524_1.pdf","20260603/PDF/PBINFO/4137/003_100157732_20260524_1.pdf","supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제5선거구-100157732-1-선거공보.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제5선거구-100157732-1-선거공보.md","ok","pymupdf","ok","8","2089","1043999","pack_stale_currently_available_direct_nec_recovered"
"520260603-4100-용인시제5선거구-100160721-1-선거공보","candidate-doc:100160721:1","4100","경기도","520260603","시·도의회의원선거","용인시제5선거구","100160721","정하용","국민의힘","1","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%9A%A9%EC%9D%B8%EC%8B%9C%EC%A0%9C5%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%A0%95%ED%95%98%EC%9A%A9_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4137/003_100160721_20260524_1.pdf","20260603/PDF/PBINFO/4137/003_100160721_20260524_1.pdf","supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제5선거구-100160721-1-선거공보.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제5선거구-100160721-1-선거공보.md","ok","pymupdf","ok","8","6958","12520347","pack_stale_currently_available_direct_nec_recovered"
"520260603-4100-용인시제9선거구-100163207-1-선거공보","candidate-doc:100163207:1","4100","경기도","520260603","시·도의회의원선거","용인시제9선거구","100163207","고찬석","더불어민주당","1","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%9A%A9%EC%9D%B8%EC%8B%9C%EC%A0%9C9%EC%84%A0%EA%B1%B0%EA%B5%AC_%EA%B3%A0%EC%B0%AC%EC%84%9D_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4137/003_100163207_20260525_1.pdf","20260603/PDF/PBINFO/4137/003_100163207_20260525_1.pdf","supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제9선거구-100163207-1-선거공보.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제9선거구-100163207-1-선거공보.md","ok","pymupdf","suspiciously_short_text","8","114","10319800","pack_stale_currently_available_direct_nec_recovered"
"520260603-4100-용인시제9선거구-100161521-1-선거공보","candidate-doc:100161521:1","4100","경기도","520260603","시·도의회의원선거","용인시제9선거구","100161521","신현정","국민의힘","1","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%9A%A9%EC%9D%B8%EC%8B%9C%EC%A0%9C9%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%8B%A0%ED%98%84%EC%A0%95_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4137/003_100161521_20260525_1.pdf","20260603/PDF/PBINFO/4137/003_100161521_20260525_1.pdf","supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제9선거구-100161521-1-선거공보.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제9선거구-100161521-1-선거공보.md","ok","pymupdf","suspiciously_short_text","8","114","2016219","pack_stale_currently_available_direct_nec_recovered"
"520260603-4100-용인시제10선거구-100157362-1-선거공보","candidate-doc:100157362:1","4100","경기도","520260603","시·도의회의원선거","용인시제10선거구","100157362","우현욱","더불어민주당","1","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%9A%A9%EC%9D%B8%EC%8B%9C%EC%A0%9C10%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%9A%B0%ED%98%84%EC%9A%B1_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4137/003_100157362_20260524_1.pdf","20260603/PDF/PBINFO/4137/003_100157362_20260524_1.pdf","supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제10선거구-100157362-1-선거공보.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제10선거구-100157362-1-선거공보.md","ok","pymupdf","ok","5","3481","1667982","pack_stale_currently_available_direct_nec_recovered"
"520260603-4100-용인시제10선거구-100163222-1-선거공보","candidate-doc:100163222:1","4100","경기도","520260603","시·도의회의원선거","용인시제10선거구","100163222","이유진","국민의힘","1","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%9A%A9%EC%9D%B8%EC%8B%9C%EC%A0%9C10%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%9D%B4%EC%9C%A0%EC%A7%84_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4137/003_100163222_20260525_1.pdf","20260603/PDF/PBINFO/4137/003_100163222_20260525_1.pdf","supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제10선거구-100163222-1-선거공보.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/supplements/official_gap_recovery_2026/direct_nec_downloads/markdown/520260603-4100-용인시제10선거구-100163222-1-선거공보.md","ok","pymupdf","ok","8","2854","1439819","pack_stale_currently_available_direct_nec_recovered"
