record_id,source_id,province_id,province_name,subSgId,subSgName,sgTypecode,sggname,huboid,hbjname,jdname,doc_index,doc_type,official_record_status,external_official_search_status,accepted_source_policy
"320260603-3100-울산광역시-100162996-2-선거공약서","candidate-doc:100162996:2","3100","울산광역시","320260603","시·도지사선거","3","울산광역시","100162996","김상욱","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-3100-울산광역시-100163070-2-선거공약서","candidate-doc:100163070:2","3100","울산광역시","320260603","시·도지사선거","3","울산광역시","100163070","김두겸","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-3100-울산광역시-100153854-2-선거공약서","candidate-doc:100153854:2","3100","울산광역시","320260603","시·도지사선거","3","울산광역시","100153854","김종훈","진보당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-3100-울산광역시-100157730-2-선거공약서","candidate-doc:100157730:2","3100","울산광역시","320260603","시·도지사선거","3","울산광역시","100157730","박맹우","무소속","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-5100-세종특별자치시-100161690-2-선거공약서","candidate-doc:100161690:2","5100","세종특별자치시","320260603","시·도지사선거","3","세종특별자치시","100161690","최민호","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-5100-세종특별자치시-100158883-2-선거공약서","candidate-doc:100158883:2","5100","세종특별자치시","320260603","시·도지사선거","3","세종특별자치시","100158883","하헌휘","개혁신당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4100-경기도-100163148-2-선거공약서","candidate-doc:100163148:2","4100","경기도","320260603","시·도지사선거","3","경기도","100163148","추미애","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4100-경기도-100163471-2-선거공약서","candidate-doc:100163471:2","4100","경기도","320260603","시·도지사선거","3","경기도","100163471","조응천","개혁신당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4100-경기도-100153796-2-선거공약서","candidate-doc:100153796:2","4100","경기도","320260603","시·도지사선거","3","경기도","100153796","홍성규","진보당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4100-경기도-100158402-2-선거공약서","candidate-doc:100158402:2","4100","경기도","320260603","시·도지사선거","3","경기도","100158402","김현욱","국민연합","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-5200-강원특별자치도-100157160-2-선거공약서","candidate-doc:100157160:2","5200","강원특별자치도","320260603","시·도지사선거","3","강원특별자치도","100157160","우상호","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-5200-강원특별자치도-100162343-2-선거공약서","candidate-doc:100162343:2","5200","강원특별자치도","320260603","시·도지사선거","3","강원특별자치도","100162343","김진태","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4300-충청북도-100153742-2-선거공약서","candidate-doc:100153742:2","4300","충청북도","320260603","시·도지사선거","3","충청북도","100153742","신용한","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4300-충청북도-100163211-2-선거공약서","candidate-doc:100163211:2","4300","충청북도","320260603","시·도지사선거","3","충청북도","100163211","김영환","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4400-충청남도-100163640-2-선거공약서","candidate-doc:100163640:2","4400","충청남도","320260603","시·도지사선거","3","충청남도","100163640","김태흠","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-5300-전북특별자치도-100163170-2-선거공약서","candidate-doc:100163170:2","5300","전북특별자치도","320260603","시·도지사선거","3","전북특별자치도","100163170","이원택","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-5300-전북특별자치도-100163202-2-선거공약서","candidate-doc:100163202:2","5300","전북특별자치도","320260603","시·도지사선거","3","전북특별자치도","100163202","양정무","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-5300-전북특별자치도-100162052-2-선거공약서","candidate-doc:100162052:2","5300","전북특별자치도","320260603","시·도지사선거","3","전북특별자치도","100162052","백승재","진보당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-5300-전북특별자치도-100153829-2-선거공약서","candidate-doc:100153829:2","5300","전북특별자치도","320260603","시·도지사선거","3","전북특별자치도","100153829","김성수","무소속","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-5300-전북특별자치도-100163514-2-선거공약서","candidate-doc:100163514:2","5300","전북특별자치도","320260603","시·도지사선거","3","전북특별자치도","100163514","김관영","무소속","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4700-경상북도-100161413-2-선거공약서","candidate-doc:100161413:2","4700","경상북도","320260603","시·도지사선거","3","경상북도","100161413","오중기","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4700-경상북도-100159249-2-선거공약서","candidate-doc:100159249:2","4700","경상북도","320260603","시·도지사선거","3","경상북도","100159249","이철우","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4800-경상남도-100158507-2-선거공약서","candidate-doc:100158507:2","4800","경상남도","320260603","시·도지사선거","3","경상남도","100158507","김경수","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4800-경상남도-100162958-2-선거공약서","candidate-doc:100162958:2","4800","경상남도","320260603","시·도지사선거","3","경상남도","100162958","박완수","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4800-경상남도-100153781-2-선거공약서","candidate-doc:100153781:2","4800","경상남도","320260603","시·도지사선거","3","경상남도","100153781","전희영","진보당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
