record_id,record_type,voter_area,contest_id,contest_name,election_type,district,candidate_name,candidate_id,party_name,ballot_number,job,education,document_type,document_availability,source_id,official_url,github_entry,github_url,source_fileinfo,evidence
"unavailable-candidate-doc:100157123:1","candidate_document_status","운정2동","paju_provincial_district_2","경기도의원 파주시제2선거구","시·도의회의원선거","파주시제2선거구","김광선","100157123","국민의힘","2","정당인","강남대학교 사회복지전문대학원 졸업(사회복지학박사)","선거공보","unavailable_official_source","candidate-doc:100157123:1","","","","선거공보||||||0||HEIGHT||Y||||00","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo; OpenCrab document node audit found no corresponding document node."
"unavailable-candidate-doc:100163103:1","candidate_document_status","운정2동","paju_city_district_na","파주시의원 파주시나선거구","구·시·군의회의원선거","파주시나선거구","김경옥","100163103","더불어민주당","1","정당인","완도금일고등학교 졸업","선거공보","unavailable_official_source","candidate-doc:100163103:1","","","","선거공보||||||0||HEIGHT||Y||||00","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo; OpenCrab document node audit found no corresponding document node."
"unavailable-candidate-doc:100165144:1","candidate_document_status","운정2동","paju_city_district_na","파주시의원 파주시나선거구","구·시·군의회의원선거","파주시나선거구","이정은","100165144","더불어민주당","1","파주시의회의원","이화여자대학교 사회복지대학원 석사학위과정 3학기 재학중","선거공보","unavailable_official_source","candidate-doc:100165144:1","","","","선거공보||||||0||HEIGHT||Y||||00","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo; OpenCrab document node audit found no corresponding document node."
"unavailable-candidate-doc:100162227:1","candidate_document_status","운정2동","paju_city_district_na","파주시의원 파주시나선거구","구·시·군의회의원선거","파주시나선거구","옥승철","100162227","국민의힘","2","회사원","옥스포드대학교 졸업(공공정책학 석사과정, 2017.9.~2018.9., 공공정책학 석사) ","선거공보","unavailable_official_source","candidate-doc:100162227:1","","","","선거공보||||||0||HEIGHT||Y||||00","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo; OpenCrab document node audit found no corresponding document node."
"unavailable-candidate-doc:100161952:1","candidate_document_status","운정2동","paju_city_district_na","파주시의원 파주시나선거구","구·시·군의회의원선거","파주시나선거구","최창호","100161952","국민의힘","2","파주시의회의원","경희사이버대학교 관광레저경영학과 졸업","선거공보","unavailable_official_source","candidate-doc:100161952:1","","","","선거공보||||||0||HEIGHT||Y||||00","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo; OpenCrab document node audit found no corresponding document node."
"unavailable-candidate-doc:100156597:1","candidate_document_status","운정2동","paju_city_district_na","파주시의원 파주시나선거구","구·시·군의회의원선거","파주시나선거구","소경준","100156597","노동당","5","정당인","미기재","선거공보","unavailable_official_source","candidate-doc:100156597:1","","","","선거공보||||||0||HEIGHT||Y||||00","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo; OpenCrab document node audit found no corresponding document node."
"unavailable-party-list-gyeonggi_proportional_council-더불어민주당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","더불어민주당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-국민의힘","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","국민의힘","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-조국혁신당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","조국혁신당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-개혁신당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","개혁신당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-진보당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","진보당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
